customer_id,company_name,industry,tier,mrr,churn_probability,risk_tier,login_freq_monthly,support_tickets_monthly,nps_score,qbr_completed,seat_utilisation,days_since_engagement
CUST-0177,Drift Group,Media & Entertainment,Starter,686.13,0.8512928398902901,Red — Intervene Now,0,21,0.2,False,0.14,152
CUST-0063,Halo Labs,SaaS / Tech,Scale,13772.98,0.8298899929682484,Red — Intervene Now,0,19,3.5,False,0.04,158
CUST-0095,Echo Solutions,Healthcare,Scale,10690.52,0.8266354292908265,Red — Intervene Now,2,13,0.1,False,0.05,147
CUST-0001,Prism HQ,SaaS / Tech,Growth,3607.98,0.8123444485095985,Red — Intervene Now,3,23,4.4,False,0.11,150
CUST-0050,Crest Digital,SaaS / Tech,Scale,13459.49,0.8107140404964993,Red — Intervene Now,1,18,0.7,False,0.16,154
CUST-0380,Vanta Co,Financial Services,Growth,1874.86,0.7930933892261248,Red — Intervene Now,0,23,2.1,False,0.09,119
CUST-0348,Crest Solutions,Professional Services,Starter,720.0,0.784369042493003,Red — Intervene Now,6,12,2.0,False,0.14,153
CUST-0426,Tide Studio,Financial Services,Scale,8483.12,0.778496047024003,Red — Intervene Now,0,13,1.6,False,0.1,129
CUST-0058,Nexus Solutions,Media & Entertainment,Growth,4579.13,0.7766966461228665,Red — Intervene Now,0,16,0.7,False,0.09,114
CUST-0115,Sable Media,Education,Starter,635.83,0.7749718855492954,Red — Intervene Now,0,23,4.5,False,0.12,123
CUST-0360,Crest Ventures,Professional Services,Starter,858.11,0.7673950397424939,Red — Intervene Now,2,11,1.1,False,0.12,119
CUST-0474,Apex Group,Financial Services,Growth,3555.56,0.7526195313076846,Red — Intervene Now,8,15,0.3,False,0.11,132
CUST-0411,Dune Co,E-Commerce / DTC,Scale,13753.05,0.7349697253254533,Red — Intervene Now,0,11,4.4,False,0.22,143
CUST-0071,Slate Ventures,SaaS / Tech,Starter,823.83,0.7171886028908852,Red — Intervene Now,0,11,0.0,False,0.2,98
CUST-0024,Orbit IO,Education,Starter,742.53,0.7167356639559849,Red — Intervene Now,3,20,1.9,False,0.2,108
CUST-0125,Faro Works,Logistics,Growth,3872.91,0.6902557578954036,Red — Intervene Now,2,16,0.3,False,0.12,80
CUST-0199,Crest Media,Financial Services,Starter,1123.69,0.6893240654584855,Red — Intervene Now,2,9,0.3,False,0.12,84
CUST-0186,Orbit Digital,Healthcare,Starter,896.39,0.673117853382739,Red — Intervene Now,4,17,2.9,False,0.33,112
CUST-0362,Apex Labs,Media & Entertainment,Growth,2507.28,0.66992645835354,Red — Intervene Now,5,16,3.3,False,0.22,109
CUST-0407,Lumis Co,Healthcare,Enterprise,33582.78,0.6684622413006877,Red — Intervene Now,3,10,2.2,False,0.21,130
CUST-0002,Lumis Media,Financial Services,Growth,4592.77,0.6676329986465623,Red — Intervene Now,0,13,3.7,False,0.11,79
CUST-0428,Crest Systems,Media & Entertainment,Starter,980.62,0.6675097542693705,Red — Intervene Now,3,12,0.6,False,0.33,109
CUST-0035,Wren Solutions,Healthcare,Scale,13633.3,0.6649293404867134,Red — Intervene Now,3,16,3.6,False,0.05,91
CUST-0495,Nova Solutions,Media & Entertainment,Starter,1248.44,0.653159620257505,Red — Intervene Now,0,10,2.8,True,0.29,76
CUST-0355,Sable Systems,Education,Scale,13677.75,0.6400770078542098,Red — Intervene Now,5,16,3.9,False,0.14,96
CUST-0329,Bloom Co,Logistics,Starter,1339.05,0.6096711884614823,Red — Intervene Now,5,13,2.3,True,0.2,62
CUST-0076,Nexus Labs,Media & Entertainment,Starter,1246.59,0.5887483073684496,Yellow — Monitor,6,14,2.7,True,0.2,53
CUST-0371,Halo Works,E-Commerce / DTC,Starter,890.78,0.5858500964011394,Yellow — Monitor,0,6,3.6,True,0.33,70
CUST-0183,Cedar Partners,Financial Services,Scale,10717.31,0.5842099459850374,Yellow — Monitor,0,8,4.8,False,0.24,81
CUST-0139,Zara Digital,Financial Services,Scale,6404.74,0.5816731464048386,Yellow — Monitor,3,13,5.4,True,0.36,80
CUST-0494,Nexus Labs,Logistics,Scale,6896.62,0.5736276337215809,Yellow — Monitor,5,9,4.2,False,0.19,81
CUST-0248,Helix Solutions,Professional Services,Enterprise,16886.97,0.5675703685667085,Yellow — Monitor,1,9,3.6,False,0.2,77
CUST-0004,Vanta Labs,E-Commerce / DTC,Enterprise,33320.48,0.5666447730308704,Yellow — Monitor,0,16,0.4,False,0.2,65
CUST-0021,Slate Co,Logistics,Scale,9631.67,0.5516808022808241,Yellow — Monitor,4,9,5.3,True,0.32,73
CUST-0231,Dune Media,Education,Starter,1390.64,0.547899447245202,Yellow — Monitor,6,9,4.9,True,0.38,84
CUST-0242,Halo Inc,SaaS / Tech,Growth,1628.28,0.5475174083618193,Yellow — Monitor,5,8,5.2,False,0.28,83
CUST-0122,Prism Works,Media & Entertainment,Growth,3672.96,0.5469305750152924,Yellow — Monitor,5,10,3.7,False,0.33,83
CUST-0364,Slate Media,Healthcare,Growth,2535.18,0.5409862046721171,Yellow — Monitor,4,12,4.1,False,0.25,69
CUST-0073,Vanta Systems,SaaS / Tech,Scale,5247.72,0.540924755241861,Yellow — Monitor,5,8,2.8,True,0.47,84
CUST-0410,Kova Works,SaaS / Tech,Growth,4574.72,0.5357873476063792,Yellow — Monitor,3,10,3.3,False,0.45,89
CUST-0117,Prism Partners,Education,Growth,2928.16,0.5318143665735198,Yellow — Monitor,7,9,3.3,False,0.38,87
CUST-0109,Cove Works,SaaS / Tech,Growth,4277.48,0.5186618559931137,Yellow — Monitor,7,11,5.2,False,0.38,88
CUST-0220,Orbit Solutions,Professional Services,Growth,2293.7,0.5169678464471071,Yellow — Monitor,2,6,4.8,True,0.47,70
CUST-0299,Nova Digital,Logistics,Starter,1081.25,0.5133541729795267,Yellow — Monitor,7,10,3.7,True,0.5,83
CUST-0476,Ridge Group,Education,Growth,3986.51,0.5128439141245836,Yellow — Monitor,2,11,4.0,True,0.35,51
CUST-0105,Tide IO,Professional Services,Starter,899.4,0.5117298925541892,Yellow — Monitor,9,14,3.3,False,0.25,65
CUST-0282,Vanta Labs,E-Commerce / DTC,Starter,1388.31,0.5116512731582022,Yellow — Monitor,0,11,5.0,False,0.25,41
CUST-0279,Prism HQ,Logistics,Starter,728.75,0.5110644398685401,Yellow — Monitor,6,10,3.1,True,0.2,35
CUST-0420,Apex Co,SaaS / Tech,Starter,1346.47,0.5099125917631914,Yellow — Monitor,9,17,5.3,False,0.2,66
CUST-0123,Tide Group,SaaS / Tech,Scale,5460.68,0.5054456724109646,Yellow — Monitor,5,9,4.2,False,0.19,58
CUST-0394,Halo Inc,Education,Growth,3700.47,0.5036628985027863,Yellow — Monitor,4,15,4.6,False,0.38,70
CUST-0417,Solus Partners,Logistics,Growth,3754.66,0.5004042628698346,Yellow — Monitor,9,14,3.0,False,0.3,68
CUST-0056,Prism Systems,Financial Services,Starter,602.96,0.49629795930498266,Yellow — Monitor,4,16,5.7,False,0.2,41
CUST-0163,Cedar Studio,SaaS / Tech,Growth,3865.79,0.4928057216125006,Yellow — Monitor,8,9,5.1,True,0.24,53
CUST-0422,Lumis Group,Media & Entertainment,Starter,1331.61,0.49223679633310885,Yellow — Monitor,2,16,3.4,False,0.25,34
CUST-0406,Prism Ventures,Education,Growth,1726.7,0.48907877813677303,Yellow — Monitor,7,13,6.0,False,0.4,87
CUST-0239,Halo Co,Professional Services,Scale,6081.66,0.48407557652863287,Yellow — Monitor,7,8,3.8,False,0.35,71
CUST-0185,Faro Labs,Logistics,Enterprise,35663.1,0.4755395714101465,Yellow — Monitor,4,8,5.2,False,0.2,78
CUST-0039,Zara Partners,Professional Services,Scale,5292.29,0.47525131493021433,Yellow — Monitor,10,7,2.3,False,0.39,78
CUST-0453,Drift Digital,Financial Services,Starter,883.99,0.4748978368471391,Yellow — Monitor,7,6,3.9,False,0.12,41
CUST-0205,Pulse Labs,Education,Growth,4638.55,0.4699732225573481,Yellow — Monitor,4,6,5.4,False,0.33,62
CUST-0350,Drift Group,Media & Entertainment,Scale,11404.07,0.46448042087821384,Yellow — Monitor,0,9,3.9,False,0.4,55
CUST-0257,Cedar HQ,Education,Growth,4099.49,0.46343037216432736,Yellow — Monitor,7,14,3.4,False,0.44,68
CUST-0081,Slate Group,Healthcare,Growth,3169.85,0.453105593680223,Yellow — Monitor,6,19,6.3,False,0.24,39
