customer_id,company_name,industry,tier,mrr,health_score,seat_utilisation,nps_score
CUST-0061,Cove Solutions,Professional Services,Enterprise,47175.0,88,0.83,9.1
CUST-0119,Cove Media,Logistics,Enterprise,45877.17,100,0.76,8.9
CUST-0421,Flux Works,Healthcare,Enterprise,45707.09,100,0.92,8.0
CUST-0192,Echo Solutions,Logistics,Enterprise,42286.71,100,0.81,9.0
CUST-0285,Vanta Partners,Education,Enterprise,39621.84,100,0.84,9.0
CUST-0112,Wren Studio,SaaS / Tech,Enterprise,35616.39,88,0.8,8.7
CUST-0461,Nexus Media,Education,Enterprise,31951.11,88,0.85,8.1
CUST-0370,Glen Systems,Professional Services,Enterprise,29032.28,100,0.93,9.4
CUST-0404,Cove Co,Financial Services,Enterprise,27845.04,92,0.98,8.7
CUST-0209,Vanta Ventures,Media & Entertainment,Enterprise,24772.18,100,0.82,9.0
CUST-0262,Pulse Studio,E-Commerce / DTC,Enterprise,24063.23,100,0.75,8.4
CUST-0223,Sable Labs,SaaS / Tech,Enterprise,15001.23,88,0.92,8.8
CUST-0266,Nexus Labs,Education,Scale,14941.58,100,0.79,9.2
CUST-0154,Pulse Group,Financial Services,Scale,13959.43,100,0.91,9.7
CUST-0188,Zara Inc,Healthcare,Scale,13706.83,100,0.93,8.2
CUST-0068,Forge HQ,Professional Services,Scale,13609.88,100,0.93,9.0
CUST-0087,Bloom Co,Professional Services,Scale,13516.35,100,0.96,8.4
CUST-0322,Wren Systems,Professional Services,Scale,13278.72,100,0.91,8.3
CUST-0054,Lumis IO,Healthcare,Scale,13276.29,100,0.94,9.8
CUST-0310,Lumis Solutions,Healthcare,Scale,13044.7,100,0.8,9.3
CUST-0297,Crest Inc,Professional Services,Scale,12247.69,100,0.93,8.5
CUST-0480,Glen Studio,Education,Scale,11362.63,100,0.88,10.0
CUST-0237,Solus Group,Healthcare,Scale,11169.08,93,0.91,7.5
CUST-0271,Sable Inc,SaaS / Tech,Scale,10856.77,93,0.91,7.9
CUST-0031,Zara Group,SaaS / Tech,Scale,10722.97,100,0.82,8.5
CUST-0280,Zara Solutions,SaaS / Tech,Scale,10115.45,100,0.92,9.7
CUST-0103,Pulse IO,Healthcare,Scale,10046.29,100,0.76,8.1
CUST-0172,Cove Systems,Education,Scale,10009.19,100,0.88,9.7
CUST-0124,Nexus Inc,Education,Scale,9907.65,100,0.83,9.6
CUST-0194,Faro Digital,Healthcare,Scale,9729.35,100,0.89,8.5
